,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
170,1585180800000,6700.00000000,6769.06000000,6567.97000000,6598.87000000,44.55252000,1585223999999,297128.09934426,344,25.25156300,168418.01708050,0
171,1585224000000,6596.42000000,6772.38000000,6517.01000000,6734.11000000,132.19880100,1585267199999,879861.87233135,742,71.38773700,475493.57169418,0
172,1585267200000,6750.08000000,6836.61000000,6600.00000000,6625.52000000,64.63868300,1585310399999,434499.74767712,642,35.74126800,240436.56245597,0
173,1585310400000,6621.85000000,6687.37000000,6275.59000000,6365.87000000,91.76100300,1585353599999,598228.41735036,1068,52.78786500,343415.76094501,0
174,1585353600000,6359.77000000,6359.77000000,6070.29000000,6245.87000000,89.67606000,1585396799999,557797.09688872,1522,44.75432300,277862.39711433,0
175,1585396800000,6237.58000000,6290.44000000,6032.28000000,6243.16000000,192.64012900,1585439999999,1189408.24599156,900,107.04901300,661202.40504444,0
176,1585440000000,6241.06000000,6266.95000000,6085.21000000,6137.80000000,61.69725000,1585483199999,380556.45712965,364,43.29974700,267145.70367170,0
177,1585483200000,6133.16000000,6156.62000000,5867.15000000,5876.82000000,184.02206100,1585526399999,1099650.86422911,1089,100.43561700,602291.94696019,0
178,1585526400000,5895.02000000,6390.16000000,5862.32000000,6364.20000000,142.19660400,1585569599999,880548.18040981,881,82.31787100,508732.76961341,0
179,1585569600000,6366.36000000,6607.25000000,6272.72000000,6386.47000000,232.44981300,1585612799999,1493591.91185175,1328,117.03458200,751132.24565436,0
180,1585612800000,6387.83000000,6516.79000000,6350.50000000,6375.84000000,121.81836700,1585655999999,784672.06385169,759,50.60616100,326049.80188647,0
181,1585656000000,6379.65000000,6495.00000000,6334.59000000,6434.43000000,78.37353800,1585699199999,504815.13481471,549,33.86502400,218018.98892122,0
182,1585699200000,6419.08000000,6427.00000000,6257.15000000,6292.23000000,76.89912800,1585742399999,485853.04167368,646,37.53613400,237114.10551519,0
183,1585742400000,6302.60000000,6679.96000000,6152.38000000,6641.00000000,167.93433200,1585785599999,1078523.27477858,1311,89.19246100,574097.72389966,0
184,1585785600000,6649.73000000,6742.08000000,6558.62000000,6675.79000000,148.95940700,1585828799999,988882.74443572,865,70.87818700,471185.75953633,0
